name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
Tobias Etter	M	1981	170	62	Switzerland	SUI	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Men's Two Person Dinghy	NA
Hanna Etula	F	1981	174	61	Finland	FIN	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Women's Air Rifle, 10 metres	NA
Hanna Etula	F	1981	174	61	Finland	FIN	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Women's Small-Bore Rifle, Three Positions, 50 metres	NA
Eum Mi-Young	F	1984	161	58	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	NA
Cadel Lee Evans	M	1977	174	65	Australia	AUS	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Road Race, Individual	NA
Cadel Lee Evans	M	1977	174	65	Australia	AUS	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Individual Time Trial	NA
Carl Evans	M	1991	175	63	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Men's Two Person Dinghy	NA
Erma-Gene Evans	F	1984	170	68	Saint Lucia	LCA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Javelin Throw	NA
Scott Evans	M	1988	182	78	Ireland	IRL	2008 Summer	2008	Summer	Beijing	Badminton	Badminton Men's Singles	NA
Laverne M. Eve	F	1965	180	82	Bahamas	BAH	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Javelin Throw	NA
Antti Everi	M	1982	185	130	Finland	FIN	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Super-Heavyweight	NA
Caroline Frances Evers-Swindell (-Meyer)	F	1979	178	76	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Women's Double Sculls	Gold
Georgina Emma Buchanan Evers-Swindell (-Earl)	F	1979	178	78	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Women's Double Sculls	Gold
Jaakko Tommi Kristian Evil	M	1980	194	83	Finland	FIN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Long Jump	NA
Nelson vora	M	1984	183	76	Portugal	POR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Triple Jump	Gold
Angeliki Exarkhou	F	1986	177	64	Greece	GRE	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 100 metres Breaststroke	NA
Angeliki Exarkhou	F	1986	177	64	Greece	GRE	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 200 metres Breaststroke	NA
Yelena Ezau	F	1983	175	55	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA
Joy Amechi Eze	F	1988	165	64	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 400 metres	NA
Joy Amechi Eze	F	1988	165	64	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 4 x 400 metres Relay	NA
Mindaugas Eerskis	M	1977	186	96	Lithuania	LTU	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Heavyweight, Greco-Roman	NA
Mielis Emalis	M	1991	181	85	Latvia	LAT	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Singles, 500 metres	NA
Mielis Emalis	M	1991	181	85	Latvia	LAT	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Singles, 1,000 metres	NA
Hamid Ezzine	M	1984	174	62	Morocco	MAR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 3,000 metres Steeplechase	NA
Orinoco J. Faamausili-Banse-Prince	M	1990	184	83	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 100 metres Freestyle Relay	NA
Fabiana "Fabi" Alvim de Oliveira	F	1980	169	59	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	Gold
Fabiana da Silva Simes	F	1989	161	56	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	Silver
Fabiana Marcelino Claudino	F	1985	193	76	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	Gold
Fbio Luiz de Jesus Magalhes	M	1979	204	101	Brazil-1	BRA	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Men's Beach Volleyball	Silver
Alexandre "Alex" Fbregas Carne	M	1981	184	83	Spain	ESP	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Silver
Francisco "Kiko" Fbregas Monegal	M	1978	182	78	Spain	ESP	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Silver
Rexel Ryan Fabriga	M	1986	160	60	Philippines	PHI	2008 Summer	2008	Summer	Beijing	Diving	Diving Men's Platform	NA
Andrea Facchin	M	1979	182	79	Italy	ITA	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Doubles, 500 metres	NA
Andrea Facchin	M	1979	182	79	Italy	ITA	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Doubles, 1,000 metres	Bronze
Loris Facci	M	1984	177	72	Italy	ITA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Breaststroke	NA
Loris Facci	M	1984	177	72	Italy	ITA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 100 metres Medley Relay	NA
Martin Fagan	M	1983	183	65	Ireland	IRL	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Marathon	NA
Alice Fagioli	F	1980	170	62	Italy	ITA	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Women's Kayak Fours, 500 metres	NA
Gabriella Fagundez	F	1986	170	66	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 400 metres Freestyle	NA
Gabriella Fagundez	F	1986	170	66	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 800 metres Freestyle	NA
Gabriella Fagundez	F	1986	170	66	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 200 metres Freestyle Relay	NA
Jenny Fhndrich	F	1989	165	70	Switzerland	SUI	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Women's BMX	NA
Vigilio Fait	M	1963	182	84	Italy	ITA	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Air Pistol, 10 metres	NA
Vigilio Fait	M	1963	182	84	Italy	ITA	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Free Pistol, 50 metres	NA
Sharon Paola Fajardo Sierra	F	1990	158	54	Honduras	HON	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 50 metres Freestyle	NA
Omnia Abdel Khalek Fakhry	F	1982	165	53	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Women's Individual	NA
Natlia Falavigna Silva	F	1984	178	69	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Women's Heavyweight	Bronze
Marinella Falca	F	1986	167	50	Italy	ITA	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	NA
Ennio Falco	M	1968	166	63	Italy	ITA	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Skeet	NA
Katelyn Falgowski	F	1989	168	63	United States	USA	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Women's Hockey	NA
Abdellah Falil	M	1976	163	63	Morocco	MAR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 10,000 metres	NA
Grigory Alekseyevich Falko	M	1987	187	72	Russia	RUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Breaststroke	NA
Assane Dame Fall	M	1984	nan	78	Senegal	SEN	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Singles, 500 metres	NA
Assane Dame Fall	M	1984	nan	78	Senegal	SEN	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Singles, 1,000 metres	NA
Malick Fall	M	1986	188	76	Senegal	SEN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Breaststroke	NA
Emilio Andrs Falla Buchely	M	1986	170	60	Ecuador	ECU	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's BMX	NA
Ruwen Faller	M	1980	187	83	Germany	GER	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 4 x 400 metres Relay	NA
Craig Patrick Fallon	M	1983	167	63	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Extra-Lightweight	NA
Stphanie Falzon	F	1983	170	68	France	FRA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Hammer Throw	NA
Anthony N. Famiglietti	M	1979	173	57	United States	USA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 3,000 metres Steeplechase	NA
Fang Yanqiao	F	1989	173	69	China	CHN	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 10 kilometres Open Water	NA
Fang Yingchao	M	1982	198	79	China	CHN	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA
ime Fantela	M	1986	183	67	Croatia	CRO	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Men's Two Person Dinghy	NA
Haiat Farac	F	1987	153	63	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Women's Middleweight, Freestyle	NA
Yasser Fathi Ibrahim Farag	M	1984	185	127	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Shot Put	NA
Mahamoud Farah	M	1989	nan	nan	Djibouti	DJI	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 1,500 metres	NA
Mohamed Muktar Jama "Mo" Farah	M	1983	175	58	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 5,000 metres	NA
Ramona Petrua Farcu-Maier	F	1979	170	63	Romania	ROU	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	NA
Asmahan (Mercedes-) Farhat	F	1990	167	69	Libya	LBA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 100 metres Breaststroke	NA
Virginia Farmer	F	1976	nan	nan	American Samoa	ASA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 50 metres Freestyle	NA
Thomas Farnik	M	1967	183	78	Austria	AUT	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Air Rifle, 10 metres	NA
Thomas Farnik	M	1967	183	78	Austria	AUT	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Small-Bore Rifle, Three Positions, 50 metres	NA
Irbek Valentinovich Farniyev	M	1980	165	66	Russia	RUS	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Welterweight, Freestyle	NA
Luana Faro	F	1990	162	48	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Group	NA
Stuart James Farquhar	M	1982	187	98	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Javelin Throw	NA
Angela Farrell	F	1982	167	58	Australia	AUS	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Women's Three Person Keelboat	NA
Kendrick James Farris	M	1986	168	94	United States	USA	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Light-Heavyweight	NA
Olusoji Adetokumbo Fasuba	M	1984	175	78	Nigeria	NGR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 100 metres	NA
Vctor Abel Fatecha Riveros	M	1988	190	114	Paraguay	PAR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Javelin Throw	NA
Olga Aleksandrovna Fateyeva	F	1984	190	72	Russia	RUS	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA
Gamal Fathy	M	1985	nan	nan	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's Sabre, Individual	NA
Gamal Fathy	M	1985	nan	nan	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's Sabre, Team	NA
Richard Bruce Faulds	M	1977	183	83	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Double Trap	NA
Beatrice Roini Liua Faumuina	F	1975	180	115	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Discus Throw	NA
Nadine Faustin-Parker	F	1976	163	59	Haiti	HAI	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 100 metres Hurdles	NA
Rbert Fazekas	M	1976	193	114	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Discus Throw	NA
Federico Julin Fazio	M	1987	195	85	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	Gold
Nedad Fazlija	M	1968	175	67	Bosnia and Herzegovina	BIH	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Air Rifle, 10 metres	NA
Nedad Fazlija	M	1968	175	67	Bosnia and Herzegovina	BIH	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Small-Bore Rifle, Three Positions, 50 metres	NA
Nedad Fazlija	M	1968	175	67	Bosnia and Herzegovina	BIH	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Small-Bore Rifle, Prone, 50 metres	NA
Claire Febvay	F	1982	171	64	France	FRA	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Platform	NA
Rafa Fedaczyski	M	1981	168	58	Poland	POL	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 50 kilometres Walk	NA
Roger Federer	M	1982	185	80	Switzerland	SUI	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Men's Singles	NA
Roger Federer	M	1982	185	80	Switzerland	SUI	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Men's Doubles	Gold
Adam Jay Federici	M	1985	188	90	Australia	AUS	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
Aleksandra Andreyevna Fedoriva	F	1989	176	60	Russia	RUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 200 metres	NA
Aleksandra Andreyevna Fedoriva	F	1989	176	60	Russia	RUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 4 x 100 metres Relay	Gold
Yekaterina Igorevna Fedorkina	F	1983	173	62	Russia	RUS	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Women's Sabre, Team	NA
Olena Olehivna Fedorova	F	1987	164	57	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Springboard	NA
Sergey Anatolyevich Fedorovtsev	M	1980	195	90	Russia	RUS	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Quadruple Sculls	NA
Vasyl Petrovych Fedoryshyn	M	1981	169	60	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Lightweight, Freestyle	Silver
Pierrick Fdrigo	M	1979	172	66	France	FRA	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Road Race, Individual	NA
Alexandra Jane "Lexie" Feeney	F	1989	160	56	Australia	AUS	2008 Summer	2008	Summer	Beijing	Archery	Archery Women's Individual	NA
Alessandro Fei	M	1979	204	90	Italy	ITA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	NA
Fei Fengji	F	1982	160	55	China	CHN	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Women's Sporting Pistol, 25 metres	NA
Benny Feilhaber	M	1985	175	73	United States	USA	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
Susana Paula de Jesus Feitor	F	1975	160	50	Portugal	POR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 20 kilometres Walk	NA
Ljubomir Fejsa	M	1989	187	77	Serbia	SRB	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
Christopher James "Chris" Felgate	M	1982	189	77	Zimbabwe	ZIM	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Men's Olympic Distance	NA
Allyson Michelle Felix	F	1986	168	56	United States	USA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 200 metres	Silver
Allyson Michelle Felix	F	1986	168	56	United States	USA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 4 x 400 metres Relay	Gold
Noemi Feliz Garca	F	1989	170	62	Spain	ESP	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 200 metres Freestyle Relay	NA
Heather Rame Fell	F	1983	169	62	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Women's Individual	Silver
Marouane Fellaini-Bakkioui	M	1988	194	88	Belgium	BEL	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
Marloes Fellinger	F	1982	178	80	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	NA
Aaron Feltham	M	1982	190	94	Canada	CAN	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA
Maurizio Felugo	M	1981	189	82	Italy	ITA	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA
Patrick Oliver Femerling	M	1975	215	118	Germany	GER	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Men's Basketball	NA
Feng Chun-Kai	M	1989	nan	nan	Chinese Taipei	TPE	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Points Race	NA
Feng Fei	M	1983	180	80	China	CHN	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
Feng Kun	F	1979	183	75	China	CHN	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	Bronze
Feng Liming	M	1987	180	74	China	CHN	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Canadian Singles, Slalom	NA
Feng Tian Wei	F	1987	163	55	Singapore	SGP	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Women's Singles	NA
Feng Tian Wei	F	1987	163	55	Singapore	SGP	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Women's Team	Silver
Feng Xiaoting	M	1986	186	81	China	CHN	2008 Summer	2008	Summer	Beijing	Football	Football Men's Football	NA
Feng Yong	M	1986	181	83	China	CHN	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Keirin	NA
Feng Yong	M	1986	181	83	China	CHN	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Men's Team Sprint	NA
Svetlana Yevgenyevna Feofanova	F	1980	164	52	Russia	RUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Pole Vault	Bronze
Emilie Fer	F	1983	170	63	France	FRA	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Women's Kayak Singles, Slalom	NA
Fabienne Fraez	F	1976	177	64	Benin	BEN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 200 metres	NA
Maria Ferekidi	F	1982	163	56	Greece	GRE	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Women's Kayak Singles, Slalom	NA
Sheniqua Monique Ferguson	F	1990	171	57	Bahamas	BAH	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 200 metres	NA
Steven Sean Ferguson	M	1980	194	92	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Singles, 500 metres	NA
Steven Sean Ferguson	M	1980	194	92	New Zealand	NZL	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Doubles, 1,000 metres	NA
Deborah "Debbie" Ferguson-McKenzie	F	1976	168	63	Bahamas	BAH	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 100 metres	NA
Deborah "Debbie" Ferguson-McKenzie	F	1976	168	63	Bahamas	BAH	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 200 metres	NA
Bernadett Ferling	F	1977	180	71	Hungary	HUN	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	NA
Fernanda Neves Beling	F	1983	183	68	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	NA
Andressa Fernandes	F	1987	nan	nan	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Half-Lightweight	NA
Emanuel de Jesus R. da Cos Fernandes	M	1967	190	85	Angola	ANG	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Men's Beach Volleyball	NA
Isabel Samboyo Fernandes	F	1985	180	89	Angola	ANG	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	NA
Vanessa de Sousa Fernandes	F	1986	169	55	Portugal	POR	2008 Summer	2008	Summer	Beijing	Triathlon	Triathlon Women's Olympic Distance	Silver
Wayne Fernandes	M	1979	180	75	Canada	CAN	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	NA
Alberto Fernndez Muoz	M	1983	180	115	Spain	ESP	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Trap	NA
Dalixia Fernndez Grosset	F	1978	172	68	Cuba-2	CUB	2008 Summer	2008	Summer	Beijing	Beach Volleyball	Beach Volleyball Women's Beach Volleyball	NA
Federico Carlos Fernndez Senderos	M	1968	173	80	Mexico	MEX	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Individual	NA
Federico Carlos Fernndez Senderos	M	1968	173	80	Mexico	MEX	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Team	NA
Francisco Javier Fernndez Pelez	M	1977	175	60	Spain	ESP	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 20 kilometres Walk	NA
Mara Isabel Fernndez Gutirrez	F	1972	159	57	Spain	ESP	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Lightweight	NA
Jrme Fernandez	M	1977	199	106	France	FRA	2008 Summer	2008	Summer	Beijing	Handball	Handball Men's Handball	Gold
Jorge Yadin Fernndez Hernndez	M	1988	190	100	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Discus Throw	NA
Juan Fernndez la Villa	M	1985	174	73	Spain	ESP	2008 Summer	2008	Summer	Beijing	Hockey	Hockey Men's Hockey	Silver
Mara del Pilar Fernndez Julin	F	1963	180	75	Spain	ESP	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Women's Air Pistol, 10 metres	NA
Mara del Pilar Fernndez Julin	F	1963	180	75	Spain	ESP	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Women's Sporting Pistol, 25 metres	NA
Rodolfo "Rudy" Fernndez Farrs	M	1985	196	84	Spain	ESP	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Men's Basketball	Silver
Santiago Fernndez	M	1977	192	93	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Single Sculls	NA
Silvio Ernesto Fernndez Briceo	M	1979	193	80	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's epee, Individual	NA
Silvio Ernesto Fernndez Briceo	M	1979	193	80	Venezuela	VEN	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's epee, Team	NA
Xabier Fernndez Gaztaaga	M	1977	181	81	Spain	ESP	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Mixed Skiff	Silver
Lyndon Ferns	M	1984	187	87	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Freestyle	NA
Lyndon Ferns	M	1984	187	87	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 100 metres Freestyle Relay	NA
Lyndon Ferns	M	1984	187	87	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Butterfly	NA
Lyndon Ferns	M	1984	187	87	South Africa	RSA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 100 metres Medley Relay	NA
Erika Ferraioli	F	1986	180	65	Italy	ITA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 100 metres Freestyle Relay	NA
Yania Ferrales Monteagudo	F	1977	179	85	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Discus Throw	NA
Vanessa Ferrari	F	1991	146	45	Italy	ITA	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Individual All-Around	NA
Vanessa Ferrari	F	1991	146	45	Italy	ITA	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Team All-Around	NA
Vanessa Ferrari	F	1991	146	45	Italy	ITA	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Floor Exercise	NA
Vanessa Ferrari	F	1991	146	45	Italy	ITA	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Uneven Bars	NA
Vanessa Ferrari	F	1991	146	45	Italy	ITA	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Balance Beam	NA
Monique Andrade Ferreira	F	1980	165	53	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 200 metres Freestyle	NA
Monique Andrade Ferreira	F	1980	165	53	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 400 metres Freestyle	NA
Monique Andrade Ferreira	F	1980	165	53	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 100 metres Freestyle Relay	NA
David Ferrer Ern	M	1982	175	73	Spain	ESP	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Men's Singles	NA
David Ferrer Ern	M	1982	175	73	Spain-2	ESP	2008 Summer	2008	Summer	Beijing	Tennis	Tennis Men's Doubles	NA
Miguel Ferrera Rodrguez	M	1981	180	80	Honduras	HON	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Men's Welterweight	NA
Francesca Ferretti	F	1984	180	70	Italy	ITA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	NA
Sergio Andrs Ferreyra	M	1977	182	80	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 100 metres Breaststroke	NA
Sergio Andrs Ferreyra	M	1977	182	80	Argentina	ARG	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 200 metres Breaststroke	NA
Christel Ferrier Bruneau	F	1979	164	53	France	FRA	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Women's Road Race, Individual	NA
Serhiy Serhiyovych Fesenko	M	1982	188	81	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 400 metres Freestyle	NA
Serhiy Serhiyovych Fesenko	M	1982	188	81	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 1,500 metres Freestyle	NA
Sergey Vasilyevich Fesikov	M	1989	187	72	Russia	RUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 100 metres Freestyle Relay	NA
Nicholas David "Nick" Ffrost	M	1987	174	70	Australia	AUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 200 metres Freestyle Relay	Bronze
Pietro Figlioli	M	1984	191	98	Australia	AUS	2008 Summer	2008	Summer	Beijing	Water Polo	Water Polo Men's Water Polo	NA
Nayara Figueira	F	1988	169	56	Brazil	BRA	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Duet	NA
scar Albeyro Figueroa Mosquera	M	1983	159	62	Colombia	COL	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Featherweight	NA
