name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
Hamza Abdo	M	1991	nan	nan	Palestine	PLE	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 50 metres Freestyle	NA
Shaimaa Abdul Aziz	F	1981	160	53	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Women's Singles	NA
Dana Abdul Razak (Hussain-)	F	1986	163	56	Iraq	IRQ	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 100 metres	NA
Rukayatu "Ruky" Abdulai	F	1986	180	59	Canada	CAN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Long Jump	NA
Ahmad Hassan Abdullah	M	1981	164	55	Qatar	QAT	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 10,000 metres	NA
lqar Abdulov	M	1981	175	74	Azerbaijan	AZE	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Middleweight, Greco-Roman	NA
Abir Abdulrahman Khalil Mahmoud Khalil	F	1992	162	72	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Women's Light-Heavyweight	NA
Shaza Yahia Nazih Abdulrahman El-Sayed	F	1993	170	59	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
Mohamed Abdultwab Ibrahim Abd El-Baki	M	1987	162	69	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Featherweight	NA
Rasul Abduraim	M	1989	183	74	Kyrgyzstan	KGZ	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Men's Featherweight	NA
Yusup Abdusalomov	M	1978	170	84	Tajikistan	TJK	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Light-Heavyweight, Freestyle	Silver
Shinnosuke Abe	M	1979	179	91	Japan	JPN	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	NA
Soha Abed Elaal	F	1973	nan	nan	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Archery	Archery Women's Individual	NA
Brooke Abel	F	1988	163	52	United States	USA	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA
Jennifer Abel	F	1992	160	62	Canada	CAN	2008 Summer	2008	Summer	Beijing	Diving	Diving Women's Springboard	NA
Katja Abel	F	1983	165	55	Germany	GER	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Individual All-Around	NA
Katja Abel	F	1983	165	55	Germany	GER	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Team All-Around	NA
Katja Abel	F	1983	165	55	Germany	GER	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Floor Exercise	NA
Katja Abel	F	1983	165	55	Germany	GER	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Uneven Bars	NA
Katja Abel	F	1983	165	55	Germany	GER	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Balance Beam	NA
Arthur Abele	M	1986	184	85	Germany	GER	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Decathlon	NA
Elvan Abeylegesse	F	1983	159	40	Turkey	TUR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 5,000 metres	Silver
Elvan Abeylegesse	F	1983	159	40	Turkey	TUR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 10,000 metres	NA
Koutoua Francis Abia	M	1966	180	80	Cote d'Ivoire	CIV	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Singles, 500 metres	NA
Koutoua Francis Abia	M	1966	180	80	Cote d'Ivoire	CIV	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Men's Kayak Singles, 1,000 metres	NA
Pablo Abin Vicen	M	1985	177	68	Spain	ESP	2008 Summer	2008	Summer	Beijing	Badminton	Badminton Men's Singles	NA
Sagat Abikeyeva	F	1981	160	78	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Half-Heavyweight	NA
