id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
54522	Jeong Geun-U	M	1983	174	75	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Gold
54806	Jiang Yuyuan	F	1992	140	32	China	CHN	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Team All-Around	Gold
54876	Jin Gab-Yong	M	1974	182	90	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Gold
54882	Jin Jong-O	M	1980	175	78	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Free Pistol, 50 metres	Gold
54900	Jin Ziwei	F	1986	183	75	China	CHN	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Women's Quadruple Sculls	Gold
55122	Kari Mette Johansen	F	1979	172	nan	Norway	NOR	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	Gold
55457	Shawn Machel Johnson (-East)	F	1992	145	41	United States	USA	2008 Summer	2008	Summer	Beijing	Gymnastics	Gymnastics Women's Balance Beam	Gold
55640	Cullen Andrew Jones	M	1984	195	95	United States	USA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 100 metres Freestyle Relay	Gold
55692	Leisel Marie Jones	F	1986	177	68	Australia	AUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 100 metres Breaststroke	Gold
55692	Leisel Marie Jones	F	1986	177	68	Australia	AUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Women's 4 x 100 metres Medley Relay	Gold
55784	Somjit Jongjohor	M	1975	167	51	Thailand	THA	2008 Summer	2008	Summer	Beijing	Boxing	Boxing Men's Flyweight	Gold
55856	Joo Hyun-Jung	F	1982	165	59	South Korea	KOR	2008 Summer	2008	Summer	Beijing	Archery	Archery Women's Team	Gold
56133	Morten Jrgensen	M	1985	183	73	Denmark	DEN	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Lightweight Coxless Fours	Gold
56675	Natasha Kanani Janine "Tasha" Kai	F	1983	170	66	United States	USA	2008 Summer	2008	Summer	Beijing	Football	Football Women's Football	Gold
56884	Elena Kalisk	F	1972	172	65	Slovakia	SVK	2008 Summer	2008	Summer	Beijing	Canoeing	Canoeing Women's Kayak Singles, Slalom	Gold
57156	Yevgeniya Olegovna Kanayeva	F	1990	168	42	Russia	RUS	2008 Summer	2008	Summer	Beijing	Rhythmic Gymnastics	Rhythmic Gymnastics Women's Individual	Gold
57247	Olga Nikolayevna Kaniskina	F	1985	160	43	Russia	RUS	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 20 kilometres Walk	Gold
