id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
9625	Alexei Bell Quintero	M	1984	176	87	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Silver
10085	Rolf-Gran Bengtsson	M	1962	171	67	Sweden	SWE	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Jumping, Individual	Silver
10105	Amar Benikhlef	M	1982	186	90	Algeria	ALG	2008 Summer	2008	Summer	Beijing	Judo	Judo Men's Middleweight	Silver
10389	Laura Kay Berg	F	1975	168	61	United States	USA	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Silver
10390	Lindsey Napela Berg	F	1980	173	77	United States	USA	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Women's Volleyball	Silver
10612	Lobke Berkhout	F	1981	183	70	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Women's Two Person Dinghy	Silver
10641	Yanet Bermoy Acosta	F	1987	154	48	Cuba	CUB	2008 Summer	2008	Summer	Beijing	Judo	Judo Women's Extra-Lightweight	Silver
10674	Alain Andr Louis Edmond Bernard	M	1983	196	90	France	FRA	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 100 metres Freestyle Relay	Silver
10724	Miosz Bernatajtys	M	1982	183	72	Poland	POL	2008 Summer	2008	Summer	Beijing	Rowing	Rowing Men's Lightweight Coxless Fours	Silver
10955	Annemieke Marileen Bes	F	1978	177	70	Netherlands	NED	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Women's Three Person Keelboat	Silver
11116	Tully Louise Bevilaqua (Crook-)	F	1972	165	66	Australia	AUS	2008 Summer	2008	Summer	Beijing	Basketball	Basketball Women's Basketball	Silver
12290	Irina Valeryevna Bliznova	F	1987	182	68	Russia	RUS	2008 Summer	2008	Summer	Beijing	Handball	Handball Women's Handball	Silver
12984	Timo Boll	M	1981	181	74	Germany	GER	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Men's Team	Silver
13300	Julien Bontemps	M	1979	183	72	France	FRA	2008 Summer	2008	Summer	Beijing	Sailing	Sailing Men's Windsurfer	Silver
