id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal
118581	Luigi Tarantino	M	1973	188	95	Italy	ITA	2008 Summer	2008	Summer	Beijing	Fencing	Fencing Men's Sabre, Team	Bronze
118617	Matthew Stephen C. "Matt" Targett	M	1986	198	90	Australia	AUS	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 4 x 100 metres Freestyle Relay	Bronze
118959	Servet Tazegl	M	1989	180	68	Turkey	TUR	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Men's Featherweight	Bronze
118983	Taylor Hill Teagarden	M	1984	187	90	United States	USA	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Bronze
119171	Nurbakyt Moldakhmetuly Tengizbayev	M	1983	168	60	Kazakhstan	KAZ	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Lightweight, Greco-Roman	Bronze
119264	Viktoriya Anatolivna Tereshchuk	F	1982	175	60	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Modern Pentathlon	Modern Pentathlon Women's Individual	Bronze
119297	Anthony Joseph Terras	M	1985	170	69	France	FRA	2008 Summer	2008	Summer	Beijing	Shooting	Shooting Men's Skeet	Bronze
119346	Kiril Stoychev Terziev	M	1984	177	74	Bulgaria	BUL	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Middleweight, Freestyle	Bronze
119411	Sergey Yuryevich Tetyukhin	M	1976	197	89	Russia	RUS	2008 Summer	2008	Summer	Beijing	Volleyball	Volleyball Men's Volleyball	Bronze
120017	Mary Elizabeth Thomson-King	F	1961	178	63	Great Britain	GBR	2008 Summer	2008	Summer	Beijing	Equestrianism	Equestrianism Mixed Three-Day Event, Team	Bronze
120162	Karin Thrig (-Bucher)	F	1972	182	67	Switzerland	SUI	2008 Summer	2008	Summer	Beijing	Cycling	Cycling Women's Individual Time Trial	Bronze
120280	Terry Ronald Tiffee	M	1979	190	102	United States	USA	2008 Summer	2008	Summer	Beijing	Baseball	Baseball Men's Baseball	Bronze
120312	Ivan Grigoryevich Tikhon	M	1976	186	110	Belarus	BLR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's Hammer Throw	Bronze
120536	Natalie Lorraine Titcume	F	1976	184	85	Australia	AUS	2008 Summer	2008	Summer	Beijing	Softball	Softball Women's Softball	Bronze
120627	Nataliya Viktorivna Tobias (Sydorenko-)	F	1981	160	48	Ukraine	UKR	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 1,500 metres	Bronze
