id	name	sex	birthyear	height	weight	team	noc	games	year	season	city	sport	event	medal	age
256	Abdihakim "Abdi" Abdirahman	M	1977	178	61	United States	USA	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 10,000 metres	NA	31
257	Ali Abdo	M	1981	169	74	Australia	AUS	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Middleweight, Freestyle	NA	27
258	Hamza Abdo	M	1991	nan	nan	Palestine	PLE	2008 Summer	2008	Summer	Beijing	Swimming	Swimming Men's 50 metres Freestyle	NA	17
277	Shaimaa Abdul Aziz	F	1981	160	53	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Table Tennis	Table Tennis Women's Singles	NA	27
299	Dana Abdul Razak (Hussain-)	F	1986	163	56	Iraq	IRQ	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's 100 metres	NA	22
314	Rukayatu "Ruky" Abdulai	F	1986	180	59	Canada	CAN	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Women's Long Jump	NA	22
321	Ahmad Hassan Abdullah	M	1981	164	55	Qatar	QAT	2008 Summer	2008	Summer	Beijing	Athletics	Athletics Men's 10,000 metres	NA	27
341	lqar Abdulov	M	1981	175	74	Azerbaijan	AZE	2008 Summer	2008	Summer	Beijing	Wrestling	Wrestling Men's Middleweight, Greco-Roman	NA	27
343	Abir Abdulrahman Khalil Mahmoud Khalil	F	1992	162	72	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Women's Light-Heavyweight	NA	16
346	Shaza Yahia Nazih Abdulrahman El-Sayed	F	1993	170	59	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Synchronized Swimming	Synchronized Swimming Women's Team	NA	15
350	Mohamed Abdultwab Ibrahim Abd El-Baki	M	1987	162	69	Egypt	EGY	2008 Summer	2008	Summer	Beijing	Weightlifting	Weightlifting Men's Featherweight	NA	21
353	Rasul Abduraim	M	1989	183	74	Kyrgyzstan	KGZ	2008 Summer	2008	Summer	Beijing	Taekwondo	Taekwondo Men's Featherweight	NA	19
